id,full_table_name,column_name,metric_name,metric_value,source_value,bucket_start,bucket_end,bucket_duration_hours,updated_at,dimension,dimension_value,metric_properties,created_at
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""data_monitoring_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DATA_MONITORING_METRICS,,build_timestamp,1707909283.077662,,,,,2024-02-14 12:14:43.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""data_monitoring_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DATA_MONITORING_METRICS,,row_count,0,,,,,2024-02-14 12:14:43.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_invocations""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_INVOCATIONS,,build_timestamp,1707909288.347305,,,,,2024-02-14 12:14:49.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_invocations""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_INVOCATIONS,,row_count,0,,,,,2024-02-14 12:14:49.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_run_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_RUN_RESULTS,,build_timestamp,1707909289.727127,,,,,2024-02-14 12:14:50.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_run_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_RUN_RESULTS,,row_count,0,,,,,2024-02-14 12:14:50.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_exposures""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_EXPOSURES,,build_timestamp,1707909291.596479,,,,,2024-02-14 12:14:52.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_exposures""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_EXPOSURES,,row_count,0,,,,,2024-02-14 12:14:52.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_METRICS,,build_timestamp,1707909292.627477,,,,,2024-02-14 12:14:53.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_METRICS,,row_count,0,,,,,2024-02-14 12:14:53.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_seeds""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SEEDS,,build_timestamp,1707909293.149478,,,,,2024-02-14 12:14:53.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_seeds""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SEEDS,,row_count,0,,,,,2024-02-14 12:14:53.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_snapshots""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SNAPSHOTS,,build_timestamp,1707909293.259478,,,,,2024-02-14 12:14:53.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_snapshots""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SNAPSHOTS,,row_count,0,,,,,2024-02-14 12:14:53.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_columns""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_COLUMNS,,build_timestamp,1707909294.601534,,,,,2024-02-14 12:14:54.000000,,,,2024-02-14 12:14:58.976453
"eeb13437-e15d-430a-970b-8b52f5e995dd.""postgres"".""transformed_elementary"".""dbt_columns""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_COLUMNS,,row_count,195,,,,,2024-02-14 12:14:54.000000,,,,2024-02-14 12:14:58.976453
