model_execution_id,unique_id,invocation_id,generated_at,created_at,name,message,status,resource_type,execution_time,execute_started_at,execute_completed_at,compile_started_at,compile_completed_at,rows_affected,full_refresh,compiled_code,failures,query_id,thread_id,materialization,adapter_response
eeb13437-e15d-430a-970b-8b52f5e995dd.model.elementary.data_monitoring_metrics,model.elementary.data_monitoring_metrics,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,data_monitoring_metrics,SELECT 0,success,model,2.219628095626831,2024-02-14T12:14:41.998339Z,2024-02-14T12:14:43.735969Z,2024-02-14T12:14:41.729340Z,2024-02-14T12:14:41.866370Z,0,false,"


    
    
        
    
    select * from (
            select
            
                
        cast('dummy_string' as varchar(4096)) as id

,
                
        cast('dummy_string' as varchar(4096)) as full_table_name

,
                
        cast('dummy_string' as varchar(4096)) as column_name

,
                
        cast('dummy_string' as varchar(4096)) as metric_name

,
                
        cast(123456789.99 as float) as metric_value

,
                
        cast('dummy_string' as varchar(4096)) as source_value

,
                cast('2091-02-17' as timestamp) as bucket_start

,
                cast('2091-02-17' as timestamp) as bucket_end

,
                
        cast(123456789 as integer) as bucket_duration_hours

,
                cast('2091-02-17' as timestamp) as updated_at

,
                
        cast('dummy_string' as varchar(4096)) as dimension

,
                
        cast('dummy_string' as varchar(4096)) as dimension_value

,
                
        cast('dummy_string' as varchar(4096)) as metric_properties

,
                cast('2091-02-17' as timestamp) as created_at


        ) as empty_table
        where 1 = 0
",,,Thread-7 (worker),incremental,"{""_message"": ""SELECT 0"", ""code"": ""SELECT"", ""rows_affected"": 0}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.dbt_chatGPT_suggestion.stg_accounts,model.dbt_chatGPT_suggestion.stg_accounts,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,stg_accounts,CREATE VIEW,success,model,2.2466282844543457,2024-02-14T12:14:41.868339Z,2024-02-14T12:14:43.783970Z,2024-02-14T12:14:41.681341Z,2024-02-14T12:14:41.858338Z,-1,false,"WITH

source AS (

    SELECT * FROM ""postgres"".""public"".""accounts""
    LIMIT 20

),

renamed AS (

    SELECT
        id AS account_id,
        description AS account_description,
        group_id

    FROM source

)

SELECT * FROM renamed",,,Thread-1 (worker),view,"{""_message"": ""CREATE VIEW"", ""code"": ""CREATE VIEW"", ""rows_affected"": -1}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.dbt_chatGPT_suggestion.stg_groups,model.dbt_chatGPT_suggestion.stg_groups,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,stg_groups,CREATE VIEW,success,model,2.3466298580169678,2024-02-14T12:14:42.080342Z,2024-02-14T12:14:43.963973Z,2024-02-14T12:14:41.689338Z,2024-02-14T12:14:41.889340Z,-1,false,"WITH

source AS (

    SELECT * FROM ""postgres"".""public"".""groups""
    LIMIT 10

),

renamed AS (

    SELECT
        id AS group_id,
        group_description

    FROM source

)

SELECT * FROM renamed",,,Thread-2 (worker),view,"{""_message"": ""CREATE VIEW"", ""code"": ""CREATE VIEW"", ""rows_affected"": -1}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.dbt_chatGPT_suggestion.stg_transactions_1,model.dbt_chatGPT_suggestion.stg_transactions_1,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,stg_transactions_1,CREATE VIEW,success,model,2.3706302642822266,2024-02-14T12:14:42.098342Z,2024-02-14T12:14:43.986970Z,2024-02-14T12:14:41.694337Z,2024-02-14T12:14:41.901338Z,-1,false,"WITH

source AS (

    SELECT * FROM ""postgres"".""public"".""transactions_1""
    LIMIT 100

),

renamed AS (

    SELECT
        id AS transaction_id,
        amount,
        account_id

    FROM source

)

SELECT * FROM renamed",,,Thread-3 (worker),view,"{""_message"": ""CREATE VIEW"", ""code"": ""CREATE VIEW"", ""rows_affected"": -1}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.dbt_chatGPT_suggestion.stg_transactions_4,model.dbt_chatGPT_suggestion.stg_transactions_4,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,stg_transactions_4,CREATE VIEW,success,model,2.37162709236145,2024-02-14T12:14:42.136338Z,2024-02-14T12:14:43.990967Z,2024-02-14T12:14:41.719340Z,2024-02-14T12:14:41.940341Z,-1,false,"WITH

source AS (

    SELECT * FROM ""postgres"".""public"".""transactions_4""
    LIMIT 100

),

renamed AS (

    SELECT
        id AS transaction_id,
        amount,
        account_id

    FROM source

)

SELECT * FROM renamed",,,Thread-6 (worker),view,"{""_message"": ""CREATE VIEW"", ""code"": ""CREATE VIEW"", ""rows_affected"": -1}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.dbt_chatGPT_suggestion.stg_transactions_2,model.dbt_chatGPT_suggestion.stg_transactions_2,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,stg_transactions_2,CREATE VIEW,success,model,2.381629467010498,2024-02-14T12:14:42.111341Z,2024-02-14T12:14:43.994971Z,2024-02-14T12:14:41.702337Z,2024-02-14T12:14:41.912338Z,-1,false,"WITH

source AS (

    SELECT * FROM ""postgres"".""public"".""transactions_2""
    LIMIT 100

),

renamed AS (

    SELECT
        id AS transaction_id,
        amount,
        account_id

    FROM source

)

SELECT * FROM renamed",,,Thread-4 (worker),view,"{""_message"": ""CREATE VIEW"", ""code"": ""CREATE VIEW"", ""rows_affected"": -1}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.dbt_chatGPT_suggestion.stg_transactions_3,model.dbt_chatGPT_suggestion.stg_transactions_3,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,stg_transactions_3,CREATE VIEW,success,model,2.3906378746032715,2024-02-14T12:14:42.124338Z,2024-02-14T12:14:44.006969Z,2024-02-14T12:14:41.710338Z,2024-02-14T12:14:41.924338Z,-1,false,"WITH

source AS (

    SELECT * FROM ""postgres"".""public"".""transactions_3""
    LIMIT 100

),

renamed AS (

    SELECT
        id AS transaction_id,
        amount,
        account_id

    FROM source

)

SELECT * FROM renamed",,,Thread-5 (worker),view,"{""_message"": ""CREATE VIEW"", ""code"": ""CREATE VIEW"", ""rows_affected"": -1}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.elementary.dbt_invocations,model.elementary.dbt_invocations,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,dbt_invocations,SELECT 0,success,model,5.81015682220459,2024-02-14T12:14:45.202123Z,2024-02-14T12:14:49.371155Z,2024-02-14T12:14:44.250969Z,2024-02-14T12:14:44.697007Z,0,false,"

select * from (
            select
            
                
        cast('this_is_just_a_long_dummy_string' as text) as invocation_id

,
                
        cast('this_is_just_a_long_dummy_string' as text) as job_id

,
                
        cast('this_is_just_a_long_dummy_string' as text) as job_name

,
                
        cast('this_is_just_a_long_dummy_string' as text) as job_run_id

,
                
        cast('dummy_string' as varchar(4096)) as run_started_at

,
                
        cast('dummy_string' as varchar(4096)) as run_completed_at

,
                
        cast('dummy_string' as varchar(4096)) as generated_at

,
                cast('2091-02-17' as timestamp) as created_at

,
                
        cast('dummy_string' as varchar(4096)) as command

,
                
        cast('dummy_string' as varchar(4096)) as dbt_version

,
                
        cast('dummy_string' as varchar(4096)) as elementary_version

,
                
        cast (True as boolean) as full_refresh

,
                
        cast('this_is_just_a_long_dummy_string' as text) as invocation_vars

,
                
        cast('this_is_just_a_long_dummy_string' as text) as vars

,
                
        cast('dummy_string' as varchar(4096)) as target_name

,
                
        cast('dummy_string' as varchar(4096)) as target_database

,
                
        cast('dummy_string' as varchar(4096)) as target_schema

,
                
        cast('dummy_string' as varchar(4096)) as target_profile_name

,
                
        cast(123456789 as integer) as threads

,
                
        cast('this_is_just_a_long_dummy_string' as text) as selected

,
                
        cast('this_is_just_a_long_dummy_string' as text) as yaml_selector

,
                
        cast('dummy_string' as varchar(4096)) as project_id

,
                
        cast('dummy_string' as varchar(4096)) as project_name

,
                
        cast('dummy_string' as varchar(4096)) as env

,
                
        cast('dummy_string' as varchar(4096)) as env_id

,
                
        cast('dummy_string' as varchar(4096)) as cause_category

,
                
        cast('this_is_just_a_long_dummy_string' as text) as cause

,
                
        cast('dummy_string' as varchar(4096)) as pull_request_id

,
                
        cast('dummy_string' as varchar(4096)) as git_sha

,
                
        cast('dummy_string' as varchar(4096)) as orchestrator

,
                
        cast('dummy_string' as varchar(4096)) as dbt_user

,
                
        cast('dummy_string' as varchar(4096)) as job_url

,
                
        cast('dummy_string' as varchar(4096)) as job_run_url

,
                
        cast('dummy_string' as varchar(4096)) as account_id

,
                
        cast('this_is_just_a_long_dummy_string' as text) as target_adapter_specific_fields


        ) as empty_table
        where 1 = 0",,,Thread-1 (worker),incremental,"{""_message"": ""SELECT 0"", ""code"": ""SELECT"", ""rows_affected"": 0}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.elementary.dbt_run_results,model.elementary.dbt_run_results,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,dbt_run_results,SELECT 0,success,model,5.972189903259277,2024-02-14T12:14:46.376561Z,2024-02-14T12:14:50.431191Z,2024-02-14T12:14:45.539115Z,2024-02-14T12:14:45.903116Z,0,false,"

select * from (
            select
            
                
        cast('this_is_just_a_long_dummy_string' as text) as model_execution_id

,
                
        cast('this_is_just_a_long_dummy_string' as text) as unique_id

,
                
        cast('dummy_string' as varchar(4096)) as invocation_id

,
                
        cast('dummy_string' as varchar(4096)) as generated_at

,
                cast('2091-02-17' as timestamp) as created_at

,
                
        cast('this_is_just_a_long_dummy_string' as text) as name

,
                
        cast('this_is_just_a_long_dummy_string' as text) as message

,
                
        cast('dummy_string' as varchar(4096)) as status

,
                
        cast('dummy_string' as varchar(4096)) as resource_type

,
                
        cast(123456789.99 as float) as execution_time

,
                
        cast('dummy_string' as varchar(4096)) as execute_started_at

,
                
        cast('dummy_string' as varchar(4096)) as execute_completed_at

,
                
        cast('dummy_string' as varchar(4096)) as compile_started_at

,
                
        cast('dummy_string' as varchar(4096)) as compile_completed_at

,
                
        cast(31474836478 as bigint) as rows_affected

,
                
        cast (True as boolean) as full_refresh

,
                
        cast('this_is_just_a_long_dummy_string' as text) as compiled_code

,
                
        cast(31474836478 as bigint) as failures

,
                
        cast('dummy_string' as varchar(4096)) as query_id

,
                
        cast('dummy_string' as varchar(4096)) as thread_id

,
                
        cast('dummy_string' as varchar(4096)) as materialization

,
                
        cast('dummy_string' as varchar(4096)) as adapter_response


        ) as empty_table
        where 1 = 0",,,Thread-6 (worker),incremental,"{""_message"": ""SELECT 0"", ""code"": ""SELECT"", ""rows_affected"": 0}"
eeb13437-e15d-430a-970b-8b52f5e995dd.model.elementary.dbt_exposures,model.elementary.dbt_exposures,eeb13437-e15d-430a-970b-8b52f5e995dd,2024-02-14 12:15:00,2024-02-14 12:15:00.621783,dbt_exposures,SELECT 0,success,model,9.092511177062988,2024-02-14T12:14:44.990596Z,2024-02-14T12:14:52.558479Z,2024-02-14T12:14:44.079970Z,2024-02-14T12:14:44.522971Z,0,false,"

select * from (
            select
            
                
        cast('dummy_string' as varchar(4096)) as unique_id

,
                
        cast('dummy_string' as varchar(4096)) as name

,
                
        cast('dummy_string' as varchar(4096)) as maturity

,
                
        cast('dummy_string' as varchar(4096)) as type

,
                
        cast('dummy_string' as varchar(4096)) as owner_email

,
                
        cast('dummy_string' as varchar(4096)) as owner_name

,
                
        cast('this_is_just_a_long_dummy_string' as text) as url

,
                
        cast('this_is_just_a_long_dummy_string' as text) as depends_on_macros

,
                
        cast('this_is_just_a_long_dummy_string' as text) as depends_on_nodes

,
                
        cast('this_is_just_a_long_dummy_string' as text) as description

,
                
        cast('this_is_just_a_long_dummy_string' as text) as tags

,
                
        cast('this_is_just_a_long_dummy_string' as text) as meta

,
                
        cast('dummy_string' as varchar(4096)) as package_name

,
                
        cast('this_is_just_a_long_dummy_string' as text) as original_path

,
                
        cast('dummy_string' as varchar(4096)) as path

,
                
        cast('dummy_string' as varchar(4096)) as generated_at

,
                
        cast('dummy_string' as varchar(4096)) as metadata_hash

,
                
        cast('dummy_string' as varchar(4096)) as label

,
                
        cast('this_is_just_a_long_dummy_string' as text) as raw_queries


        ) as empty_table
        where 1 = 0",,,Thread-7 (worker),incremental,"{""_message"": ""SELECT 0"", ""code"": ""SELECT"", ""rows_affected"": 0}"
